store,category,units,retail_value
WEB - Quiet LLC,Women's Bomber,384,114432.00
Venetian,Accessories,832,107616.28
Maceoo Tampa,Jewellery,227,106657.68
Maceoo Mandalay Bay (Men),Blazer,79,102542.00
Maceoo Aria,Athleisure,815,100065.44
Maceoo Biloxi,Shoes,343,99772.32
Maceoo Biloxi,Jacket,184,98300.96
Maceoo Atlantic,Shoes,328,98129.44
Maceoo Tampa,Blazer,116,97325.28
WEB - Quiet LLC,V-neck SS,1417,97223.04
Maceoo Resorts World Las Vegas,Accessories,344,93692.60
Maceoo Ocean AC,Jacket,157,92812.52
Maceoo Hollywood FL,Jacket,151,91575.68
Maceoo MGM,Jewellery,158,90698.24
WEB - Quiet LLC,Uncategorized,170,88335.12
Maceoo Biloxi,Bottom,531,87263.20
Maceoo Atlantic,Dress Shirt SS,572,85252.70
Maceoo Hollywood FL,Shoes,276,85169.20
Caesars Palace (Womens),Accessories,30,85050.00
Maceoo Atlantic,Polo SS,669,84371.52
Maceoo DFW Terminal D,Dress Shirt LS,414,81230.96
Maceoo MGM,Shoes,262,79307.20
Maceoo Resorts World Las Vegas,Blazer,39,78081.12
Maceoo MGM,Women's Leather,32,76559.76
Maceoo Biloxi,Athleisure,569,74982.28
WEB - Quiet LLC,Suit,57,74017.68
Maceoo Hollywood FL,Polo SS,564,73359.92
WEB - Quiet LLC,Women's Leather,77,72145.28
Maceoo Aria,Women's Leather,28,69595.64
Maceoo Aria,Jewellery,105,67525.76
Maceoo DFW Terminal D,Athleisure,465,67332.20
Maceoo Tampa,Women's Shoes,108,66979.04
Maceoo Atlantic,Women's Leather,48,66818.96
Maceoo MGM,Dress Shirt SS,412,66634.00
Maceoo Tampa,Suit,25,63634.00
Maceoo Aria,Dress Shirt SS,402,60735.12
Maceoo Cosmo,Jewellery,152,57733.76
Maceoo Biloxi,Dress Shirt SS,360,56845.12
Maceoo Cosmo,Athleisure,391,56434.08
Maceoo Aria,Polo SS,418,55796.08
Maceoo Ocean AC,Dress Shirt LS,271,54746.80
Maceoo MGM,Polo SS,416,54628.56
Maceoo Resorts World Las Vegas,Dress Shirt LS,84,51669.92
Maceoo ilani,Women's Athleisure,552,51092.62
Maceoo Biloxi,Display,2,49997.76
Maceoo PR,Athleisure,395,49403.36
Maceoo Aria,Leather,22,48775.36
Maceoo Mandalay Bay (Men),Women's Athleisure,434,47815.33
Maceoo Resorts World Las Vegas,Bottom,153,46786.48
Maceoo Tampa,Women's Dresses,56,46685.97
Maceoo PR,Shoes,160,45494.64
Maceoo DFW Terminal D,Shoes,147,45332.56
Maceoo DFW Terminal D,Bottom,242,45169.76
Maceoo Cosmo,Women's Leather,14,43484.32
