day,store,net_sales,gross_sales,discounts,sales_reversals,orders,units,new_customers,returning_customers,customers
2025-01-10,Maceoo PR,508.99,513.64,-4.65,0,3,3,1,2,3
2025-01-10,Maceoo Resorts World Las Vegas,2037.14,2444.68,-407.54,0,4,10,3,1,4
2025-01-10,Maceoo Cosmo,3398.16,3943.09,-544.93,0,5,16,1,1,3
2025-01-10,Maceoo MGM,1339.64,1339.64,0,0,6,27,6,0,6
2025-01-10,Maceoo Aria,5924.36,6302.12,0,-377.76,9,27,5,3,9
2025-01-10,Online Store,3159.56,3393.44,-233.88,0,11,15,7,4,11
2025-01-10,Maceoo Atlantic,1486.28,1486.28,0,0,7,14,5,1,7
2025-01-11,Maceoo Tampa,13943.13,16331.52,-2388.39,0,12,28,6,4,11
2025-01-11,Maceoo Hollywood FL,3999.32,5018.32,-34.32,-984.68,15,24,8,5,14
2025-01-11,Maceoo Cosmo,2175.32,2175.32,0,0,6,14,4,1,5
2025-01-11,Maceoo Biloxi,2852.31,3216.2,-234.89,-129,6,15,3,0,4
2025-01-11,Maceoo PR,1294.24,1388.68,-94.44,0,4,11,1,3,4
2025-01-11,Maceoo Resorts World Las Vegas,4377.9,4397.16,-19.26,0,5,17,4,1,5
2025-01-11,Maceoo MGM,941.01,1131.13,-190.12,0,5,9,3,0,4
2025-01-11,Maceoo Aria,8847.54,9465.79,-419.37,-198.88,20,51,8,9,18
2025-01-11,Online Store,2789.92,3872.88,-1082.96,0,13,21,7,6,13
2025-01-11,Maceoo Atlantic,6548.14,7029.67,-34.89,-446.64,20,44,10,9,18
2025-01-12,Maceoo Cosmo,737.82,936.7,0,-198.88,3,4,3,0,3
2025-01-12,Maceoo Tampa,780.84,780.84,0,0,3,7,0,2,2
2025-01-12,Maceoo Hollywood FL,8231.55,9062.6,-97.77,-733.28,18,61,10,4,15
2025-01-12,Maceoo Resorts World Las Vegas,71.28,71.28,0,0,1,2,1,0,1
2025-01-12,Maceoo PR,158.88,158.88,0,0,1,1,1,0,1
2025-01-12,Maceoo Atlantic,8997.95,9085.72,-18.89,-68.88,16,58,7,9,15
2025-01-12,Maceoo Biloxi,1168.79,1584.8,-29.37,-386.64,4,12,1,1,3
2025-01-12,Maceoo Aria,1568.68,1568.68,0,0,6,11,3,3,5
2025-01-12,Online Store,2512.86,4556.14,-855.52,-1187.76,14,13,6,7,13
2025-01-12,Maceoo MGM,361.19,486.18,-124.99,0,2,5,1,1,2
2025-01-13,Maceoo MGM,1867.93,2204.76,-336.83,0,3,8,2,0,3
2025-01-13,Maceoo Tampa,304.63,304.63,0,0,3,4,1,0,2
2025-01-13,Maceoo Biloxi,437.76,437.76,0,0,2,2,1,0,2
2025-01-13,Maceoo PR,536.64,536.64,0,0,1,3,0,1,1
2025-01-13,Maceoo Aria,1294.26,1377.92,-83.66,0,6,10,3,2,6
2025-01-13,Maceoo Atlantic,1553.46,1553.46,0,0,7,13,5,2,7
2025-01-13,Maceoo Cosmo,1671.46,1697.34,-25.88,0,3,7,2,1,2
2025-01-13,Online Store,5200.86,6176.72,-496.53,-479.33,18,21,7,10,16
2025-01-13,Maceoo Hollywood FL,3867.17,3867.17,0,0,9,20,5,3,9
2025-01-14,Online Store,2453.37,3059.84,-606.47,0,13,19,5,8,12
2025-01-14,Maceoo Tampa,1019.96,1019.96,0,0,3,7,0,1,2
2025-01-14,Venetian,2.29,374.76,-6.47,-366,2,2,0,1,2
2025-01-14,Maceoo Atlantic,322.65,351.54,-28.89,0,2,3,2,0,2
2025-01-14,Maceoo Aria,6239.76,6239.76,0,0,2,6,1,1,2
2025-01-14,Maceoo PR,307.64,307.64,0,0,2,3,1,1,2
2025-01-14,Maceoo Biloxi,760.6,811.16,-50.56,0,5,8,2,0,3
2025-01-14,Maceoo Resorts World Las Vegas,293.52,293.52,0,0,2,4,2,0,2
2025-01-14,Maceoo Cosmo,298.88,597.76,-298.88,0,2,2,1,0,2
2025-01-14,Maceoo Hollywood FL,7555.42,8103.84,-548.42,0,13,40,9,2,12
2025-01-15,Maceoo Hollywood FL,2350.68,2370.01,-19.33,0,8,20,3,5,8
2025-01-15,Online Store,6191.61,8588.81,-1392.69,-1004.51,22,13,8,14,22
2025-01-15,Maceoo Tampa,1727.79,1756.12,-28.33,0,6,9,1,2,4
2025-01-15,Maceoo Cosmo,1365.51,1433.28,-67.77,0,4,6,4,0,4
2025-01-15,Maceoo MGM,884.61,899.44,-14.83,0,2,3,0,0,1
2025-01-15,Maceoo Atlantic,964.4,964.4,0,0,5,5,2,3,5
2025-01-15,Maceoo Aria,1292.97,1352.8,-59.83,0,8,10,7,1,8
2025-01-15,Maceoo Biloxi,357.76,357.76,0,0,1,2,0,0,1
2025-01-16,Maceoo Aria,6907.1,6954.32,-47.22,0,8,17,4,4,8
2025-01-16,Maceoo Cosmo,2624.2,2877.68,-253.48,0,6,11,5,0,6
2025-01-16,Maceoo PR,1508.8,1508.8,0,0,5,10,0,5,5
2025-01-16,Online Store,3810.74,4248.28,-437.54,0,19,19,7,10,16
2025-01-16,Maceoo MGM,1206.6,1206.6,0,0,3,5,2,0,3
2025-01-16,Maceoo Tampa,1339.8,1439.8,-100,0,5,10,2,2,5
2025-01-16,Maceoo Resorts World Las Vegas,2360.46,2385.46,-25,0,4,8,2,2,4
2025-01-16,Maceoo Atlantic,2033.54,2033.54,0,0,5,9,4,1,5
2025-01-16,Maceoo Biloxi,526.76,885.52,-59.88,-298.88,1,4,1,0,1
2025-01-16,Maceoo Hollywood FL,5161.08,5449.95,-288.87,0,14,51,8,6,14
2025-01-17,Maceoo Atlantic,2185.64,2374.52,-28.33,-160.55,7,12,4,3,7
2025-01-17,Maceoo Aria,2797.43,2797.43,0,0,7,15,5,2,7
2025-01-17,Maceoo PR,765.52,765.52,0,0,2,4,0,2,2
2025-01-17,Maceoo MGM,2346.68,3965.67,-1618.99,0,6,35,5,0,6
2025-01-17,Online Store,3867.14,12547.58,-8680.44,0,14,23,4,10,14
2025-01-17,Maceoo Hollywood FL,6189.33,6189.33,0,0,12,26,8,4,12
2025-01-17,Maceoo Tampa,6719.6,7625.51,-905.91,0,10,28,5,3,9
2025-01-17,Maceoo Resorts World Las Vegas,2355.74,2844.62,0,-488.88,2,20,0,2,2
2025-01-17,Maceoo Biloxi,503.55,671.4,-167.85,0,1,5,1,0,1
2025-01-17,Maceoo Cosmo,1700.51,2277.9,-577.39,0,7,15,4,0,5
2025-01-18,Maceoo Aria,2651.04,2752.7,-101.66,0,6,37,1,5,6
2025-01-18,Maceoo Resorts World Las Vegas,3276.3,3512.94,-236.64,0,5,16,4,1,5
2025-01-18,Maceoo Atlantic,7986.76,7986.76,0,0,16,38,10,5,16
2025-01-18,Maceoo MGM,1504.24,1595.69,-91.45,0,3,8,3,0,3
2025-01-18,Maceoo Hollywood FL,6229.12,8445.13,-295.63,-1920.38,16,73,9,7,16
2025-01-18,Online Store,6554.16,7433.56,-879.4,0,18,36,7,10,16
2025-01-18,Maceoo Biloxi,1107.9,1118.28,-10.38,0,5,11,4,0,5
2025-01-18,Maceoo Cosmo,6302.79,6908.22,-605.43,0,13,35,8,2,10
2025-01-18,Maceoo Tampa,6518.84,6518.84,0,0,13,30,2,3,5
2025-01-19,Maceoo MGM,7234.53,7375.63,-141.1,0,9,20,7,0,8
2025-01-19,Maceoo PR,188.88,347.76,0,-158.88,1,1,1,0,1
2025-01-19,Maceoo Atlantic,5199.38,5318.26,0,-118.88,11,24,6,4,10
2025-01-19,Maceoo Tampa,4205.3,4255.24,-49.94,0,9,23,0,3,4
2025-01-19,Maceoo Resorts World Las Vegas,904.16,904.16,0,0,2,4,2,0,2
2025-01-19,Maceoo Cosmo,2322.01,2322.01,0,0,7,16,1,2,4
2025-01-19,Maceoo Biloxi,1215.52,1215.52,0,0,3,4,3,0,3
2025-01-19,Maceoo Aria,12804.11,13201.6,-397.49,0,17,79,9,7,16
2025-01-19,Maceoo Hollywood FL,2869.11,3157.87,-129.88,-158.88,13,55,5,7,12
2025-01-19,Online Store,4738.88,5693.06,-954.18,0,22,27,9,13,22
2025-01-20,Maceoo Tampa,4132.66,4208.64,-75.98,0,6,13,2,3,6
2025-01-20,Maceoo Atlantic,15410.01,15430.18,-20.17,0,8,16,3,4,7
2025-01-20,Maceoo MGM,796.08,882.77,-86.69,0,4,10,3,0,4
2025-01-20,Maceoo Biloxi,168.88,168.88,0,0,1,1,0,1,1
2025-01-20,Online Store,7874.43,8386.46,-512.03,0,9,47,2,6,8
2025-01-20,Maceoo Hollywood FL,2148.11,2638.73,0,-490.62,9,18,5,3,8
2025-01-20,Maceoo Cosmo,1799.82,1881.3,-81.48,0,5,10,3,0,4
2025-01-20,Maceoo Aria,4536.99,4595.74,-30.48,-28.27,13,38,9,3,11
2025-01-21,Maceoo Cosmo,405.72,405.72,0,0,2,4,1,0,2
2025-01-21,Maceoo Hollywood FL,3202.43,3222.19,-19.76,0,6,20,3,3,6
2025-01-21,Maceoo Atlantic,3800.58,4000.34,-0.88,-198.88,5,19,1,3,4
2025-01-21,Maceoo MGM,3336.17,3392.32,-56.15,0,7,15,3,2,6
2025-01-21,Maceoo Aria,1764.43,1882.38,-117.95,0,7,14,5,2,7
2025-01-21,Maceoo Biloxi,355.75,389.52,-33.77,0,2,4,1,0,2
2025-01-21,Maceoo Resorts World Las Vegas,202.86,202.86,0,0,1,3,1,0,1
2025-01-21,Maceoo Tampa,749.5,913.78,-164.28,0,3,25,0,2,3
2025-01-21,Online Store,1325.81,6705.89,-3331.56,-2048.52,24,0,6,16,21
2025-01-22,Maceoo Hollywood FL,3682.25,4149.22,-466.97,0,9,18,4,4,8
2025-01-22,Online Store,2777.57,4920.72,-2143.15,0,18,10,5,13,18
2025-01-22,Maceoo MGM,2071.82,2550.91,-479.09,0,2,8,1,0,2
2025-01-22,Maceoo Tampa,2813.26,2813.26,0,0,7,12,0,0,1
2025-01-22,Maceoo Atlantic,2397.65,3377.9,-81.37,-898.88,7,9,3,3,6
2025-01-22,Maceoo Aria,395.6,395.6,0,0,4,8,2,2,4
2025-01-22,Maceoo Resorts World Las Vegas,346.01,363.78,-17.77,0,3,6,3,0,3
2025-01-22,Maceoo Biloxi,479.98,598.88,-118.9,0,1,1,0,1,1
2025-01-22,Maceoo Cosmo,3635.98,4638.8,-1002.82,0,2,10,1,0,2
2025-01-23,Maceoo Resorts World Las Vegas,1531.86,1531.86,0,0,4,7,3,1,3
2025-01-23,Maceoo Cosmo,1840.98,2034.86,-5,-188.88,6,11,4,0,5
2025-01-23,Online Store,4609.31,5219.84,-421.65,-188.88,14,18,4,9,12
2025-01-23,Maceoo MGM,142,219.06,-77.06,0,2,4,0,1,2
2025-01-23,Maceoo Biloxi,0,536.64,-18.88,-517.76,0,0,0,0,0
2025-01-23,Maceoo Tampa,1080.84,1371.18,0,-290.34,8,8,2,3,6
2025-01-23,Maceoo Atlantic,2224.4,2224.4,0,0,3,5,2,1,3
2025-01-23,Maceoo Hollywood FL,6652.16,9509.34,-1325.58,-1531.6,15,31,12,2,15
2025-01-23,Maceoo Aria,4581.84,4581.84,0,0,11,31,5,6,11
2025-01-24,Maceoo Tampa,4284.34,4340.44,-56.1,0,7,17,1,2,4
2025-01-24,Maceoo Biloxi,-215.66,944.4,-415.52,-744.54,4,-2,0,1,2
2025-01-24,Maceoo PR,1693.66,2068.8,-97.09,-278.05,4,8,1,3,4
2025-01-24,Maceoo Aria,6337.68,6873.44,-535.76,0,10,16,6,3,10
2025-01-24,Maceoo Cosmo,3612.59,3612.59,0,0,5,10,2,3,5
2025-01-24,Maceoo Resorts World Las Vegas,1962.89,1962.89,0,0,2,7,1,1,2
2025-01-24,Maceoo Hollywood FL,10074.37,10539.56,-96.05,-369.14,19,51,14,4,19
2025-01-24,Online Store,1184.4,1343.28,-158.88,0,6,6,2,4,6
2025-01-24,Maceoo Atlantic,1133.92,1531.68,0,-397.76,6,11,1,4,5
2025-01-24,Maceoo MGM,1905.44,2382.46,-477.02,0,6,10,2,1,4
2025-01-25,Maceoo PR,536.86,575.52,-38.66,0,2,4,1,1,2
2025-01-25,Maceoo Cosmo,8857.77,9746.71,-318.88,-570.06,19,48,10,7,17
2025-01-25,Maceoo Tampa,4409.59,4478.13,-68.54,0,13,22,4,2,7
2025-01-25,Maceoo Hollywood FL,5302.22,7907.29,-307.31,-2297.76,16,46,14,2,16
2025-01-25,Maceoo Aria,5175.06,5175.06,0,0,17,33,15,1,17
2025-01-25,Maceoo Biloxi,1100.63,1372.16,-271.53,0,5,7,3,1,5
2025-01-25,Online Store,-29025.18,1751.04,-262.77,-30513.45,7,-107,2,5,7
2025-01-25,Maceoo Atlantic,5315.49,6122.18,-7.81,-798.88,11,33,7,3,11
2025-01-25,Maceoo Resorts World Las Vegas,192.66,192.66,0,0,1,2,1,0,1
2025-01-25,Maceoo MGM,2649.46,3364.2,-714.74,0,9,19,8,0,9
2025-01-26,Maceoo Aria,1715.06,7362.83,-37.77,-5610,7,16,3,4,7
2025-01-26,Maceoo Atlantic,6212.84,6533.22,-320.38,0,18,42,7,9,16
2025-01-26,Maceoo Hollywood FL,792.28,957.32,-46.16,-118.88,6,9,2,4,6
2025-01-26,Online Store,687.96,1113.28,-425.32,0,5,6,0,5,5
2025-01-26,Maceoo PR,802.73,863.28,-60.55,0,3,6,3,0,3
2025-01-26,Maceoo Cosmo,2202.8,2202.8,0,0,7,27,2,4,7
2025-01-26,Maceoo MGM,2127.72,2276.21,-148.49,0,3,9,1,1,3
2025-01-26,Maceoo Tampa,1435.98,1464.31,-28.33,0,5,10,1,2,4
2025-01-26,Maceoo Biloxi,795.28,814.16,-18.88,0,5,7,1,1,3
2025-01-26,Maceoo Resorts World Las Vegas,3612.95,3953.92,-340.97,0,6,21,6,0,6
2025-01-27,Maceoo Resorts World Las Vegas,1630.88,1630.88,0,0,2,2,2,0,2
2025-01-27,Maceoo PR,402.2,765.52,-174.44,-188.88,3,3,2,1,3
2025-01-27,Maceoo Tampa,4908.2,4918.12,-9.92,0,3,20,1,2,3
2025-01-27,Maceoo Biloxi,509.97,566.64,-56.67,0,1,3,1,0,1
2025-01-27,Maceoo Aria,2540.72,2540.72,0,0,11,24,10,0,11
2025-01-27,Maceoo MGM,949.93,1143.87,-193.94,0,3,9,0,3,3
2025-01-27,Online Store,2346.56,2644.32,-297.76,0,9,15,4,5,9
2025-01-27,Maceoo Atlantic,4389.22,4389.22,0,0,8,21,3,2,6
2025-01-27,Maceoo Cosmo,385.32,761.96,0,-376.64,2,4,2,0,2
2025-01-27,Maceoo Hollywood FL,3497.53,3792.49,-294.96,0,8,30,4,2,7
2025-01-28,Maceoo MGM,2430.08,3445.6,-1015.52,0,8,16,4,0,5
2025-01-28,Maceoo Aria,3381.02,3381.02,0,0,8,15,5,3,7
2025-01-28,Venetian,1671.1,5766.64,-4095.54,0,3,4,1,1,2
2025-01-28,Online Store,4673.13,4891.12,-75,-142.99,19,23,8,10,17
2025-01-28,Maceoo Atlantic,2549.01,2887.03,0,-338.02,9,18,7,0,8
2025-01-28,Maceoo Biloxi,339.98,566.64,-56.67,-169.99,1,2,0,1,1
2025-01-28,Maceoo Cosmo,26.4,26.4,0,0,1,2,0,0,1
2025-01-28,Maceoo PR,486.52,486.52,0,0,2,4,1,1,2
2025-01-28,Maceoo Resorts World Las Vegas,669.78,828.66,0,-158.88,3,6,1,1,2
2025-01-28,Maceoo Hollywood FL,1084.28,1084.28,0,0,3,6,2,1,3
2025-01-29,Maceoo Aria,4402.86,4801.74,0,-398.88,9,24,3,6,8
2025-01-29,Online Store,4763.41,5430.88,-223.33,-444.14,15,23,7,5,12
2025-01-29,Maceoo PR,158.88,158.88,0,0,1,1,1,0,1
2025-01-29,Maceoo Tampa,376.68,391.4,-14.72,0,2,5,1,1,2
2025-01-29,Venetian,385.32,385.32,0,0,1,3,0,1,1
2025-01-29,Maceoo MGM,2454.71,2664.69,-209.98,0,5,16,3,1,5
2025-01-29,Maceoo Cosmo,1074.16,1273.04,0,-198.88,4,7,1,3,4
2025-01-29,Maceoo Hollywood FL,1790.46,1910.12,-119.66,0,9,15,7,1,9
2025-01-29,Maceoo Atlantic,1819.58,2008.46,0,-188.88,6,16,5,1,6
2025-01-29,Maceoo Biloxi,136.77,287.76,0,-150.99,2,2,1,1,1
2025-01-30,Online Store,8220.41,8957.21,-736.8,0,24,29,11,12,23
2025-01-30,Maceoo MGM,846.15,977.92,-131.77,0,4,6,2,1,4
2025-01-30,Maceoo Tampa,5516.96,5705.84,0,-188.88,5,12,1,3,4
2025-01-30,Maceoo Hollywood FL,5151.42,5683.73,-431.45,-100.86,16,36,9,7,16
2025-01-30,Maceoo Aria,3986.81,4598.98,-612.17,0,11,29,4,7,11
2025-01-30,Maceoo PR,347.76,347.76,0,0,2,2,2,0,2
2025-01-30,Maceoo Resorts World Las Vegas,1480.66,1595.23,-114.57,0,7,15,6,0,7
2025-01-30,Maceoo Atlantic,5435.83,5509.38,-73.55,0,7,24,2,4,6
2025-01-30,Maceoo Biloxi,725.76,774.4,-48.64,0,4,5,2,2,4
2025-01-31,Maceoo Resorts World Las Vegas,725.52,725.52,0,0,2,4,2,0,2
2025-01-31,Maceoo Biloxi,1223.52,1839.92,-616.4,0,7,9,3,1,5
2025-01-31,Maceoo MGM,2538.61,3333.52,-496.03,-298.88,8,20,6,1,8
2025-01-31,Online Store,5495.36,9483.91,-2477.72,-1510.83,16,23,2,14,16
2025-01-31,Maceoo Hollywood FL,2726.92,4375.33,-50.65,-1597.76,9,19,4,5,9
2025-01-31,Maceoo Aria,5736.56,7784.49,-2047.93,0,20,45,11,7,18
2025-01-31,Maceoo Cosmo,2991.97,4306.2,0,-1314.23,6,16,5,1,5
2025-01-31,Maceoo Tampa,1470.72,1470.72,0,0,4,8,1,2,4
2025-01-31,Maceoo PR,704.4,704.4,0,0,2,5,0,2,2
2025-01-31,Maceoo Atlantic,1023.28,3111.04,0,-2087.76,3,7,1,2,3
2025-02-01,Maceoo Cosmo,1501.88,1746.64,-244.76,0,2,3,2,0,2
2025-02-01,Maceoo MGM,4328.76,6208.47,-897.79,-981.92,11,28,7,1,9
2025-02-01,Maceoo Aria,2467.96,2526.77,-58.81,0,8,18,6,2,8
2025-02-01,Maceoo Hollywood FL,8554.57,9917.12,-627.03,-735.52,34,70,21,11,31
2025-02-01,Maceoo Resorts World Las Vegas,2539.9,2539.9,0,0,6,22,4,1,5
2025-02-01,Maceoo PR,1749.92,1749.92,0,0,5,9,4,1,5
2025-02-01,Maceoo Atlantic,3790.07,3861.6,-71.53,0,9,20,5,4,9
2025-02-01,Maceoo Tampa,3743.04,4389.68,-298.88,-347.76,17,29,3,7,11
2025-02-01,Online Store,7940.27,9362.39,-1422.12,0,26,39,12,12,24
2025-02-01,Maceoo Biloxi,1161.95,1403.28,-98.33,-143,3,5,1,1,3
2025-02-02,Maceoo Cosmo,1306.84,1306.84,0,0,5,8,2,2,5
2025-02-02,Maceoo Biloxi,1044.4,1044.4,0,0,5,5,0,3,4
2025-02-02,Maceoo Aria,2926.9,3005.89,-78.99,0,6,16,3,3,6
2025-02-02,Maceoo PR,2024.44,2024.44,0,0,5,15,2,3,4
2025-02-02,Online Store,4568.15,5082.03,-513.88,0,15,23,7,7,14
2025-02-02,Maceoo MGM,1488.27,1793.7,-305.43,0,5,10,2,0,3
2025-02-02,Maceoo Tampa,4226.9,5917.21,-404.61,-1285.7,14,22,3,6,9
2025-02-02,Maceoo Hollywood FL,4961.67,5025.97,-64.3,0,13,28,10,3,13
2025-02-02,Maceoo Resorts World Las Vegas,26.4,26.4,0,0,1,2,1,0,1
2025-02-02,Maceoo Atlantic,855.86,855.86,0,0,5,11,4,1,5
